internship_id,date_time,profile,company,location,start_date,stipend,duration,apply_by_date,offer,education,skills,perks,stipend_min,stipend_max,stipend_type,stipend_period,duration_months,apply_by_dt,posted_dt,start_immediate,start_dt,is_remote,city,is_multi_city,skills_tokens,text_blob
INT1120,2025-04-09,Data Science,TechCorp India,Jaipur,1 July 2025,Rs. 5000 /month,2 Months,2025-06-15,"Certificate of Completion, Letter of Recommendation",B.Tech/B.E.,"Python, Machine Learning, Data Analysis","5 days a week, Free snacks",5000.0,5000.0,fixed,month,2.0,2025-06-15,2025-04-09,False,2025-07-01,False,Jaipur,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis 5 days a week, free snacks b.tech/b.e. certificate of completion, letter of recommendation techcorp india"
INT1121,2025-05-10,Web Development,StartupXYZ,Noida,1 August 2025,Rs. 10000 /month,3 Months,2025-07-01,Pre-Placement Offer (PPO),BCA,"React, JavaScript, HTML, CSS","Informal dress code, Free snacks",10000.0,10000.0,fixed,month,3.0,2025-07-01,2025-05-10,False,2025-08-01,False,Noida,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css informal dress code, free snacks bca pre-placement offer (ppo) startupxyz"
INT1122,2025-06-11,Machine Learning,InnovateTech,Gurgaon,1 July 2025,Rs. 8000 /month,4 Months,2025-08-20,Certificate of Completion,MCA,"Python, TensorFlow, Deep Learning","Certificate, LOR",8000.0,8000.0,fixed,month,4.0,2025-08-20,2025-06-11,False,2025-07-01,False,Gurgaon,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning certificate, lor mca certificate of completion innovatetech"
INT1123,2025-07-12,Business Development,DataDriven Co,Chandigarh,1 June 2025,Rs. 15000 /month,6 Months,2025-09-30,Letter of Recommendation,MBA,"Business Development, Sales, CRM",Flexible working hours,15000.0,15000.0,fixed,month,6.0,2025-09-30,2025-07-12,False,2025-06-01,False,Chandigarh,False,"['business development', 'sales', 'crm']","business development business development, sales, crm flexible working hours mba letter of recommendation datadriven co"
INT1124,2025-08-13,Marketing,DesignHub,Indore,15 June 2025,Unpaid,1 Month,2025-05-31,,B.Com,"Digital Marketing, SEO, Google Analytics",Health Insurance,0.0,0.0,unpaid,unknown,1.0,2025-05-31,2025-08-13,False,2025-06-15,False,Indore,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics health insurance b.com designhub"
INT1125,2025-09-14,Content Writing,FinanceFirst,Work From Home,1 June 2025,Rs. 3000 /month,5 Months,2025-10-15,"Certificate, PPO",Any Graduate,"Content Writing, Blogging, SEO",,3000.0,3000.0,fixed,month,5.0,2025-10-15,2025-09-14,False,2025-06-01,True,Remote,False,"['content writing', 'blogging', 'seo']","content writing content writing, blogging, seo any graduate certificate, ppo financefirst"
INT1126,2025-01-15,Graphic Design,MarketMasters,Work From Home,1 June 2025,Rs. 20000 /month,8 Weeks,2025-06-30,"Certificate of Completion, Letter of Recommendation",B.Sc,"Photoshop, Illustrator, Figma","Flexible working hours, Work from home",20000.0,20000.0,fixed,month,1.8411967779056388,2025-06-30,2025-01-15,False,2025-06-01,True,Remote,False,"['photoshop', 'illustrator', 'figma']","graphic design photoshop, illustrator, figma flexible working hours, work from home b.sc certificate of completion, letter of recommendation marketmasters"
INT1127,2025-02-16,Finance,CodeCraft,Work From Home,1 August 2025,Rs. 12000 /month,12 Weeks,2025-07-15,Pre-Placement Offer (PPO),M.Tech,"Finance, Excel, Tally","5 days a week, Free snacks",12000.0,12000.0,fixed,month,2.761795166858458,2025-07-15,2025-02-16,False,2025-08-01,True,Remote,False,"['finance', 'excel', 'tally']","finance finance, excel, tally 5 days a week, free snacks m.tech pre-placement offer (ppo) codecraft"
INT1128,2025-03-17,Human Resources,CreativeMinds,Mumbai,Immediately,Performance based,2 Months,2025-08-01,Certificate of Completion,"B.Tech/B.E., MCA","HR, Recruitment, Excel","Informal dress code, Free snacks",,,performance_based,unknown,2.0,2025-08-01,2025-03-17,True,,False,Mumbai,False,"['hr', 'recruitment', 'excel']","human resources hr, recruitment, excel informal dress code, free snacks b.tech/b.e., mca certificate of completion creativeminds"
INT1129,2025-04-18,Operations,GrowthLab,Delhi,Immediately,Rs. 7000-10000 /month,3 Months,2025-11-30,Letter of Recommendation,Any,"Operations, MS Office, Excel","Certificate, LOR",7000.0,10000.0,range,month,3.0,2025-11-30,2025-04-18,True,,False,Delhi,False,"['operations', 'ms office', 'excel']","operations operations, ms office, excel certificate, lor any letter of recommendation growthlab"
INT1130,2025-05-19,Python Development,AIVentures,Bangalore,15 June 2025,Rs. 2000 /month,2 Months,2025-06-15,,B.Tech/B.E.,"Python, Django, REST API",Flexible working hours,2000.0,2000.0,fixed,month,2.0,2025-06-15,2025-05-19,False,2025-06-15,False,Bangalore,False,"['python', 'django', 'rest api']","python development python, django, rest api flexible working hours b.tech/b.e. aiventures"
INT1131,2025-06-20,Android Development,WebWizards,Hyderabad,1 August 2025,Rs. 25000 /month,3 Months,2025-07-01,"Certificate, PPO",BCA,"Android, Kotlin, Java",Health Insurance,25000.0,25000.0,fixed,month,3.0,2025-07-01,2025-06-20,False,2025-08-01,False,Hyderabad,False,"['android', 'kotlin', 'java']","android development android, kotlin, java health insurance bca certificate, ppo webwizards"
INT1132,2025-07-21,iOS Development,AppFactory,Chennai,Immediately,Rs. 5000-8000 /month,4 Months,2025-08-20,"Certificate of Completion, Letter of Recommendation",MCA,"iOS, Swift, Xcode",,5000.0,8000.0,range,month,4.0,2025-08-20,2025-07-21,True,,False,Chennai,False,"['ios', 'swift', 'xcode']","ios development ios, swift, xcode mca certificate of completion, letter of recommendation appfactory"
INT1133,2025-08-22,UI/UX Design,CloudNine,Pune,1 July 2025,,6 Months,2025-09-30,Pre-Placement Offer (PPO),MBA,"Figma, Adobe XD, Sketch","Flexible working hours, Work from home",,,unknown,unknown,6.0,2025-09-30,2025-08-22,False,2025-07-01,False,Pune,False,"['figma', 'adobe xd', 'sketch']","ui/ux design figma, adobe xd, sketch flexible working hours, work from home mba pre-placement offer (ppo) cloudnine"
INT1134,2025-09-23,Digital Marketing,BizBoost,Kolkata,Immediately,Rs. 18000 /month,1 Month,2025-05-31,Certificate of Completion,B.Com,"Facebook Ads, Google Ads, SEO","5 days a week, Free snacks",18000.0,18000.0,fixed,month,1.0,2025-05-31,2025-09-23,True,,False,Kolkata,False,"['facebook ads', 'google ads', 'seo']","digital marketing facebook ads, google ads, seo 5 days a week, free snacks b.com certificate of completion bizboost"
INT1135,2025-01-24,Social Media Marketing,ContentKing,Ahmedabad,1 July 2025,Rs. 5000 /month,5 Months,2025-10-15,Letter of Recommendation,Any Graduate,"Instagram, Facebook, Content Creation","Informal dress code, Free snacks",5000.0,5000.0,fixed,month,5.0,2025-10-15,2025-01-24,False,2025-07-01,False,Ahmedabad,False,"['instagram', 'facebook', 'content creation']","social media marketing instagram, facebook, content creation informal dress code, free snacks any graduate letter of recommendation contentking"
INT1136,2025-02-25,Video Editing,PixelPerfect,Jaipur,15 June 2025,Rs. 10000 /month,8 Weeks,2025-06-30,,B.Sc,"Premiere Pro, After Effects, Davinci Resolve","Certificate, LOR",10000.0,10000.0,fixed,month,1.8411967779056388,2025-06-30,2025-02-25,False,2025-06-15,False,Jaipur,False,"['premiere pro', 'after effects', 'davinci resolve']","video editing premiere pro, after effects, davinci resolve certificate, lor b.sc pixelperfect"
INT1137,2025-03-26,React Development,AnalyticsEdge,Noida,1 June 2025,Rs. 8000 /month,12 Weeks,2025-07-15,"Certificate, PPO",M.Tech,"React, Node.js, MongoDB",Flexible working hours,8000.0,8000.0,fixed,month,2.761795166858458,2025-07-15,2025-03-26,False,2025-06-01,False,Noida,False,"['react', 'node.js', 'mongodb']","react development react, node.js, mongodb flexible working hours m.tech certificate, ppo analyticsedge"
INT1138,2025-04-27,Full Stack Development,MobileFirst,Gurgaon,1 June 2025,Rs. 15000 /month,2 Months,2025-08-01,"Certificate of Completion, Letter of Recommendation","B.Tech/B.E., MCA","Full Stack, Python, JavaScript, SQL",Health Insurance,15000.0,15000.0,fixed,month,2.0,2025-08-01,2025-04-27,False,2025-06-01,False,Gurgaon,False,"['full stack', 'python', 'javascript', 'sql']","full stack development full stack, python, javascript, sql health insurance b.tech/b.e., mca certificate of completion, letter of recommendation mobilefirst"
INT1139,2025-05-28,Data Analytics,DevStudio,Chandigarh,Immediately,Unpaid,3 Months,2025-11-30,Pre-Placement Offer (PPO),Any,"SQL, Excel, Tableau, Power BI",,0.0,0.0,unpaid,unknown,3.0,2025-11-30,2025-05-28,True,,False,Chandigarh,False,"['sql', 'excel', 'tableau', 'power bi']","data analytics sql, excel, tableau, power bi any pre-placement offer (ppo) devstudio"
INT1140,2025-06-01,Data Science,TechCorp India,Indore,1 July 2025,Rs. 3000 /month,2 Months,2025-06-15,Certificate of Completion,B.Tech/B.E.,"Python, Machine Learning, Data Analysis","Flexible working hours, Work from home",3000.0,3000.0,fixed,month,2.0,2025-06-15,2025-06-01,False,2025-07-01,False,Indore,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis flexible working hours, work from home b.tech/b.e. certificate of completion techcorp india"
INT1141,2025-07-02,Web Development,StartupXYZ,Work From Home,Immediately,Rs. 20000 /month,3 Months,2025-07-01,Letter of Recommendation,BCA,"React, JavaScript, HTML, CSS","5 days a week, Free snacks",20000.0,20000.0,fixed,month,3.0,2025-07-01,2025-07-02,True,,True,Remote,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css 5 days a week, free snacks bca letter of recommendation startupxyz"
INT1142,2025-08-03,Machine Learning,InnovateTech,Work From Home,Immediately,Rs. 12000 /month,4 Months,2025-08-20,,MCA,"Python, TensorFlow, Deep Learning","Informal dress code, Free snacks",12000.0,12000.0,fixed,month,4.0,2025-08-20,2025-08-03,True,,True,Remote,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning informal dress code, free snacks mca innovatetech"
INT1143,2025-09-04,Business Development,DataDriven Co,Work From Home,Immediately,Performance based,6 Months,2025-09-30,"Certificate, PPO",MBA,"Business Development, Sales, CRM","Certificate, LOR",,,performance_based,unknown,6.0,2025-09-30,2025-09-04,True,,True,Remote,False,"['business development', 'sales', 'crm']","business development business development, sales, crm certificate, lor mba certificate, ppo datadriven co"
INT1144,2025-01-05,Marketing,DesignHub,Mumbai,1 June 2025,Rs. 7000-10000 /month,1 Month,2025-05-31,"Certificate of Completion, Letter of Recommendation",B.Com,"Digital Marketing, SEO, Google Analytics",Flexible working hours,7000.0,10000.0,range,month,1.0,2025-05-31,2025-01-05,False,2025-06-01,False,Mumbai,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics flexible working hours b.com certificate of completion, letter of recommendation designhub"
INT1145,2025-02-06,Content Writing,FinanceFirst,Delhi,1 August 2025,Rs. 2000 /month,5 Months,2025-10-15,Pre-Placement Offer (PPO),Any Graduate,"Content Writing, Blogging, SEO",Health Insurance,2000.0,2000.0,fixed,month,5.0,2025-10-15,2025-02-06,False,2025-08-01,False,Delhi,False,"['content writing', 'blogging', 'seo']","content writing content writing, blogging, seo health insurance any graduate pre-placement offer (ppo) financefirst"
INT1146,2025-03-07,Graphic Design,MarketMasters,Bangalore,1 June 2025,Rs. 25000 /month,8 Weeks,2025-06-30,Certificate of Completion,B.Sc,"Photoshop, Illustrator, Figma",,25000.0,25000.0,fixed,month,1.8411967779056388,2025-06-30,2025-03-07,False,2025-06-01,False,Bangalore,False,"['photoshop', 'illustrator', 'figma']","graphic design photoshop, illustrator, figma b.sc certificate of completion marketmasters"
INT1147,2025-04-08,Finance,CodeCraft,Hyderabad,1 August 2025,Rs. 5000-8000 /month,12 Weeks,2025-07-15,Letter of Recommendation,M.Tech,"Finance, Excel, Tally","Flexible working hours, Work from home",5000.0,8000.0,range,month,2.761795166858458,2025-07-15,2025-04-08,False,2025-08-01,False,Hyderabad,False,"['finance', 'excel', 'tally']","finance finance, excel, tally flexible working hours, work from home m.tech letter of recommendation codecraft"
INT1148,2025-05-09,Human Resources,CreativeMinds,Chennai,1 July 2025,,2 Months,2025-08-01,,"B.Tech/B.E., MCA","HR, Recruitment, Excel","5 days a week, Free snacks",,,unknown,unknown,2.0,2025-08-01,2025-05-09,False,2025-07-01,False,Chennai,False,"['hr', 'recruitment', 'excel']","human resources hr, recruitment, excel 5 days a week, free snacks b.tech/b.e., mca creativeminds"
INT1149,2025-06-10,Operations,GrowthLab,Pune,Immediately,Rs. 18000 /month,3 Months,2025-11-30,"Certificate, PPO",Any,"Operations, MS Office, Excel","Informal dress code, Free snacks",18000.0,18000.0,fixed,month,3.0,2025-11-30,2025-06-10,True,,False,Pune,False,"['operations', 'ms office', 'excel']","operations operations, ms office, excel informal dress code, free snacks any certificate, ppo growthlab"
INT1150,2025-07-11,Python Development,AIVentures,Kolkata,Immediately,Rs. 5000 /month,2 Months,2025-06-15,"Certificate of Completion, Letter of Recommendation",B.Tech/B.E.,"Python, Django, REST API","Certificate, LOR",5000.0,5000.0,fixed,month,2.0,2025-06-15,2025-07-11,True,,False,Kolkata,False,"['python', 'django', 'rest api']","python development python, django, rest api certificate, lor b.tech/b.e. certificate of completion, letter of recommendation aiventures"
INT1151,2025-08-12,Android Development,WebWizards,Ahmedabad,1 July 2025,Rs. 10000 /month,3 Months,2025-07-01,Pre-Placement Offer (PPO),BCA,"Android, Kotlin, Java",Flexible working hours,10000.0,10000.0,fixed,month,3.0,2025-07-01,2025-08-12,False,2025-07-01,False,Ahmedabad,False,"['android', 'kotlin', 'java']","android development android, kotlin, java flexible working hours bca pre-placement offer (ppo) webwizards"
INT1152,2025-09-13,iOS Development,AppFactory,Jaipur,1 July 2025,Rs. 8000 /month,4 Months,2025-08-20,Certificate of Completion,MCA,"iOS, Swift, Xcode",Health Insurance,8000.0,8000.0,fixed,month,4.0,2025-08-20,2025-09-13,False,2025-07-01,False,Jaipur,False,"['ios', 'swift', 'xcode']","ios development ios, swift, xcode health insurance mca certificate of completion appfactory"
INT1153,2025-01-14,UI/UX Design,CloudNine,Noida,Immediately,Rs. 15000 /month,6 Months,2025-09-30,Letter of Recommendation,MBA,"Figma, Adobe XD, Sketch",,15000.0,15000.0,fixed,month,6.0,2025-09-30,2025-01-14,True,,False,Noida,False,"['figma', 'adobe xd', 'sketch']","ui/ux design figma, adobe xd, sketch mba letter of recommendation cloudnine"
INT1154,2025-02-15,Digital Marketing,BizBoost,Gurgaon,1 July 2025,Unpaid,1 Month,2025-05-31,,B.Com,"Facebook Ads, Google Ads, SEO","Flexible working hours, Work from home",0.0,0.0,unpaid,unknown,1.0,2025-05-31,2025-02-15,False,2025-07-01,False,Gurgaon,False,"['facebook ads', 'google ads', 'seo']","digital marketing facebook ads, google ads, seo flexible working hours, work from home b.com bizboost"
INT1155,2025-03-16,Social Media Marketing,ContentKing,Chandigarh,Immediately,Rs. 3000 /month,5 Months,2025-10-15,"Certificate, PPO",Any Graduate,"Instagram, Facebook, Content Creation","5 days a week, Free snacks",3000.0,3000.0,fixed,month,5.0,2025-10-15,2025-03-16,True,,False,Chandigarh,False,"['instagram', 'facebook', 'content creation']","social media marketing instagram, facebook, content creation 5 days a week, free snacks any graduate certificate, ppo contentking"
INT1156,2025-04-17,Video Editing,PixelPerfect,Indore,15 June 2025,Rs. 20000 /month,8 Weeks,2025-06-30,"Certificate of Completion, Letter of Recommendation",B.Sc,"Premiere Pro, After Effects, Davinci Resolve","Informal dress code, Free snacks",20000.0,20000.0,fixed,month,1.8411967779056388,2025-06-30,2025-04-17,False,2025-06-15,False,Indore,False,"['premiere pro', 'after effects', 'davinci resolve']","video editing premiere pro, after effects, davinci resolve informal dress code, free snacks b.sc certificate of completion, letter of recommendation pixelperfect"
INT1157,2025-05-18,React Development,AnalyticsEdge,Work From Home,Immediately,Rs. 12000 /month,12 Weeks,2025-07-15,Pre-Placement Offer (PPO),M.Tech,"React, Node.js, MongoDB","Certificate, LOR",12000.0,12000.0,fixed,month,2.761795166858458,2025-07-15,2025-05-18,True,,True,Remote,False,"['react', 'node.js', 'mongodb']","react development react, node.js, mongodb certificate, lor m.tech pre-placement offer (ppo) analyticsedge"
INT1158,2025-06-19,Full Stack Development,MobileFirst,Work From Home,Immediately,Performance based,2 Months,2025-08-01,Certificate of Completion,"B.Tech/B.E., MCA","Full Stack, Python, JavaScript, SQL",Flexible working hours,,,performance_based,unknown,2.0,2025-08-01,2025-06-19,True,,True,Remote,False,"['full stack', 'python', 'javascript', 'sql']","full stack development full stack, python, javascript, sql flexible working hours b.tech/b.e., mca certificate of completion mobilefirst"
INT1159,2025-07-20,Data Analytics,DevStudio,Work From Home,1 August 2025,Rs. 7000-10000 /month,3 Months,2025-11-30,Letter of Recommendation,Any,"SQL, Excel, Tableau, Power BI",Health Insurance,7000.0,10000.0,range,month,3.0,2025-11-30,2025-07-20,False,2025-08-01,True,Remote,False,"['sql', 'excel', 'tableau', 'power bi']","data analytics sql, excel, tableau, power bi health insurance any letter of recommendation devstudio"
INT1160,2025-08-21,Data Science,TechCorp India,Mumbai,1 August 2025,Rs. 2000 /month,2 Months,2025-06-15,,B.Tech/B.E.,"Python, Machine Learning, Data Analysis",,2000.0,2000.0,fixed,month,2.0,2025-06-15,2025-08-21,False,2025-08-01,False,Mumbai,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis b.tech/b.e. techcorp india"
INT1161,2025-09-22,Web Development,StartupXYZ,Delhi,Immediately,Rs. 25000 /month,3 Months,2025-07-01,"Certificate, PPO",BCA,"React, JavaScript, HTML, CSS","Flexible working hours, Work from home",25000.0,25000.0,fixed,month,3.0,2025-07-01,2025-09-22,True,,False,Delhi,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css flexible working hours, work from home bca certificate, ppo startupxyz"
INT1162,2025-01-23,Machine Learning,InnovateTech,Bangalore,1 August 2025,Rs. 5000-8000 /month,4 Months,2025-08-20,"Certificate of Completion, Letter of Recommendation",MCA,"Python, TensorFlow, Deep Learning","5 days a week, Free snacks",5000.0,8000.0,range,month,4.0,2025-08-20,2025-01-23,False,2025-08-01,False,Bangalore,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning 5 days a week, free snacks mca certificate of completion, letter of recommendation innovatetech"
INT1163,2025-02-24,Business Development,DataDriven Co,Hyderabad,Immediately,,6 Months,2025-09-30,Pre-Placement Offer (PPO),MBA,"Business Development, Sales, CRM","Informal dress code, Free snacks",,,unknown,unknown,6.0,2025-09-30,2025-02-24,True,,False,Hyderabad,False,"['business development', 'sales', 'crm']","business development business development, sales, crm informal dress code, free snacks mba pre-placement offer (ppo) datadriven co"
INT1164,2025-03-25,Marketing,DesignHub,Chennai,15 June 2025,Rs. 18000 /month,1 Month,2025-05-31,Certificate of Completion,B.Com,"Digital Marketing, SEO, Google Analytics","Certificate, LOR",18000.0,18000.0,fixed,month,1.0,2025-05-31,2025-03-25,False,2025-06-15,False,Chennai,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics certificate, lor b.com certificate of completion designhub"
INT1165,2025-04-26,Content Writing,FinanceFirst,Pune,1 August 2025,Rs. 5000 /month,5 Months,2025-10-15,Letter of Recommendation,Any Graduate,"Content Writing, Blogging, SEO",Flexible working hours,5000.0,5000.0,fixed,month,5.0,2025-10-15,2025-04-26,False,2025-08-01,False,Pune,False,"['content writing', 'blogging', 'seo']","content writing content writing, blogging, seo flexible working hours any graduate letter of recommendation financefirst"
INT1166,2025-05-27,Graphic Design,MarketMasters,Kolkata,15 June 2025,Rs. 10000 /month,8 Weeks,2025-06-30,,B.Sc,"Photoshop, Illustrator, Figma",Health Insurance,10000.0,10000.0,fixed,month,1.8411967779056388,2025-06-30,2025-05-27,False,2025-06-15,False,Kolkata,False,"['photoshop', 'illustrator', 'figma']","graphic design photoshop, illustrator, figma health insurance b.sc marketmasters"
INT1167,2025-06-28,Finance,CodeCraft,Ahmedabad,Immediately,Rs. 8000 /month,12 Weeks,2025-07-15,"Certificate, PPO",M.Tech,"Finance, Excel, Tally",,8000.0,8000.0,fixed,month,2.761795166858458,2025-07-15,2025-06-28,True,,False,Ahmedabad,False,"['finance', 'excel', 'tally']","finance finance, excel, tally m.tech certificate, ppo codecraft"
INT1168,2025-07-01,Human Resources,CreativeMinds,Jaipur,15 June 2025,Rs. 15000 /month,2 Months,2025-08-01,"Certificate of Completion, Letter of Recommendation","B.Tech/B.E., MCA","HR, Recruitment, Excel","Flexible working hours, Work from home",15000.0,15000.0,fixed,month,2.0,2025-08-01,2025-07-01,False,2025-06-15,False,Jaipur,False,"['hr', 'recruitment', 'excel']","human resources hr, recruitment, excel flexible working hours, work from home b.tech/b.e., mca certificate of completion, letter of recommendation creativeminds"
INT1169,2025-08-02,Operations,GrowthLab,Noida,1 July 2025,Unpaid,3 Months,2025-11-30,Pre-Placement Offer (PPO),Any,"Operations, MS Office, Excel","5 days a week, Free snacks",0.0,0.0,unpaid,unknown,3.0,2025-11-30,2025-08-02,False,2025-07-01,False,Noida,False,"['operations', 'ms office', 'excel']","operations operations, ms office, excel 5 days a week, free snacks any pre-placement offer (ppo) growthlab"
INT1170,2025-09-03,Python Development,AIVentures,Gurgaon,1 June 2025,Rs. 3000 /month,2 Months,2025-06-15,Certificate of Completion,B.Tech/B.E.,"Python, Django, REST API","Informal dress code, Free snacks",3000.0,3000.0,fixed,month,2.0,2025-06-15,2025-09-03,False,2025-06-01,False,Gurgaon,False,"['python', 'django', 'rest api']","python development python, django, rest api informal dress code, free snacks b.tech/b.e. certificate of completion aiventures"
INT1171,2025-01-04,Android Development,WebWizards,Chandigarh,1 July 2025,Rs. 20000 /month,3 Months,2025-07-01,Letter of Recommendation,BCA,"Android, Kotlin, Java","Certificate, LOR",20000.0,20000.0,fixed,month,3.0,2025-07-01,2025-01-04,False,2025-07-01,False,Chandigarh,False,"['android', 'kotlin', 'java']","android development android, kotlin, java certificate, lor bca letter of recommendation webwizards"
INT1172,2025-02-05,iOS Development,AppFactory,Indore,Immediately,Rs. 12000 /month,4 Months,2025-08-20,,MCA,"iOS, Swift, Xcode",Flexible working hours,12000.0,12000.0,fixed,month,4.0,2025-08-20,2025-02-05,True,,False,Indore,False,"['ios', 'swift', 'xcode']","ios development ios, swift, xcode flexible working hours mca appfactory"
INT1173,2025-03-06,UI/UX Design,CloudNine,Work From Home,1 August 2025,Performance based,6 Months,2025-09-30,"Certificate, PPO",MBA,"Figma, Adobe XD, Sketch",Health Insurance,,,performance_based,unknown,6.0,2025-09-30,2025-03-06,False,2025-08-01,True,Remote,False,"['figma', 'adobe xd', 'sketch']","ui/ux design figma, adobe xd, sketch health insurance mba certificate, ppo cloudnine"
INT1174,2025-04-07,Digital Marketing,BizBoost,Work From Home,1 August 2025,Rs. 7000-10000 /month,1 Month,2025-05-31,"Certificate of Completion, Letter of Recommendation",B.Com,"Facebook Ads, Google Ads, SEO",,7000.0,10000.0,range,month,1.0,2025-05-31,2025-04-07,False,2025-08-01,True,Remote,False,"['facebook ads', 'google ads', 'seo']","digital marketing facebook ads, google ads, seo b.com certificate of completion, letter of recommendation bizboost"
INT1175,2025-05-08,Social Media Marketing,ContentKing,Work From Home,15 June 2025,Rs. 2000 /month,5 Months,2025-10-15,Pre-Placement Offer (PPO),Any Graduate,"Instagram, Facebook, Content Creation","Flexible working hours, Work from home",2000.0,2000.0,fixed,month,5.0,2025-10-15,2025-05-08,False,2025-06-15,True,Remote,False,"['instagram', 'facebook', 'content creation']","social media marketing instagram, facebook, content creation flexible working hours, work from home any graduate pre-placement offer (ppo) contentking"
INT1176,2025-06-09,Video Editing,PixelPerfect,Mumbai,Immediately,Rs. 25000 /month,8 Weeks,2025-06-30,Certificate of Completion,B.Sc,"Premiere Pro, After Effects, Davinci Resolve","5 days a week, Free snacks",25000.0,25000.0,fixed,month,1.8411967779056388,2025-06-30,2025-06-09,True,,False,Mumbai,False,"['premiere pro', 'after effects', 'davinci resolve']","video editing premiere pro, after effects, davinci resolve 5 days a week, free snacks b.sc certificate of completion pixelperfect"
INT1177,2025-07-10,React Development,AnalyticsEdge,Delhi,1 June 2025,Rs. 5000-8000 /month,12 Weeks,2025-07-15,Letter of Recommendation,M.Tech,"React, Node.js, MongoDB","Informal dress code, Free snacks",5000.0,8000.0,range,month,2.761795166858458,2025-07-15,2025-07-10,False,2025-06-01,False,Delhi,False,"['react', 'node.js', 'mongodb']","react development react, node.js, mongodb informal dress code, free snacks m.tech letter of recommendation analyticsedge"
INT1178,2025-08-11,Full Stack Development,MobileFirst,Bangalore,Immediately,,2 Months,2025-08-01,,"B.Tech/B.E., MCA","Full Stack, Python, JavaScript, SQL","Certificate, LOR",,,unknown,unknown,2.0,2025-08-01,2025-08-11,True,,False,Bangalore,False,"['full stack', 'python', 'javascript', 'sql']","full stack development full stack, python, javascript, sql certificate, lor b.tech/b.e., mca mobilefirst"
INT1179,2025-09-12,Data Analytics,DevStudio,Hyderabad,Immediately,Rs. 18000 /month,3 Months,2025-11-30,"Certificate, PPO",Any,"SQL, Excel, Tableau, Power BI",Flexible working hours,18000.0,18000.0,fixed,month,3.0,2025-11-30,2025-09-12,True,,False,Hyderabad,False,"['sql', 'excel', 'tableau', 'power bi']","data analytics sql, excel, tableau, power bi flexible working hours any certificate, ppo devstudio"
INT1180,2025-01-13,Data Science,TechCorp India,Chennai,1 August 2025,Rs. 5000 /month,2 Months,2025-06-15,"Certificate of Completion, Letter of Recommendation",B.Tech/B.E.,"Python, Machine Learning, Data Analysis",Health Insurance,5000.0,5000.0,fixed,month,2.0,2025-06-15,2025-01-13,False,2025-08-01,False,Chennai,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis health insurance b.tech/b.e. certificate of completion, letter of recommendation techcorp india"
INT1181,2025-02-14,Web Development,StartupXYZ,Pune,15 June 2025,Rs. 10000 /month,3 Months,2025-07-01,Pre-Placement Offer (PPO),BCA,"React, JavaScript, HTML, CSS",,10000.0,10000.0,fixed,month,3.0,2025-07-01,2025-02-14,False,2025-06-15,False,Pune,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css bca pre-placement offer (ppo) startupxyz"
INT1182,2025-03-15,Machine Learning,InnovateTech,Kolkata,1 August 2025,Rs. 8000 /month,4 Months,2025-08-20,Certificate of Completion,MCA,"Python, TensorFlow, Deep Learning","Flexible working hours, Work from home",8000.0,8000.0,fixed,month,4.0,2025-08-20,2025-03-15,False,2025-08-01,False,Kolkata,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning flexible working hours, work from home mca certificate of completion innovatetech"
INT1183,2025-04-16,Business Development,DataDriven Co,Ahmedabad,Immediately,Rs. 15000 /month,6 Months,2025-09-30,Letter of Recommendation,MBA,"Business Development, Sales, CRM","5 days a week, Free snacks",15000.0,15000.0,fixed,month,6.0,2025-09-30,2025-04-16,True,,False,Ahmedabad,False,"['business development', 'sales', 'crm']","business development business development, sales, crm 5 days a week, free snacks mba letter of recommendation datadriven co"
INT1184,2025-05-17,Marketing,DesignHub,Jaipur,Immediately,Unpaid,1 Month,2025-05-31,,B.Com,"Digital Marketing, SEO, Google Analytics","Informal dress code, Free snacks",0.0,0.0,unpaid,unknown,1.0,2025-05-31,2025-05-17,True,,False,Jaipur,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics informal dress code, free snacks b.com designhub"
